,name_comment,content_comment,skuInfo_comment,like_count
0,3***7Chứng nhận đã mua hàng,"Sản phẩm ok 
Đúng như mô tả chỉ là hơi mỏng
Thôi thì tiền nào của náY thui",Nhóm Màu:KẺ ĐEN,0
1,vũChứng nhận đã mua hàng,bóp đẹp mịn rất tốt nên mua,Nhóm Màu:KẺ ĐEN,2
2,Tran M.Chứng nhận đã mua hàng,"có hơn 20k mà nhìn cũng chất lượng ra phết, bi vọng dùng bền. cảm ơn shop!.hehe 😁😁😁 😂😂😂😂",Nhóm Màu:KẺ ĐEN,1
3,N***.Chứng nhận đã mua hàng,"Họa tiết kẻ đen tinh tế,",Nhóm Màu:KẺ ĐEN,0
4,0***3Chứng nhận đã mua hàng,bóp đẹp giao nhanh có hơi mỏng nhưng ko sao cũng hợp với giá tiền này :v,Nhóm Màu:KẺ ĐEN,0
5,Thiện T.Chứng nhận đã mua hàng,Giao hàng đúng dự kiến. Gói hàng rất tốt. Và hơn hết sản phẩm đẹp y như hình.Chất lượng thì để thời gian nha. Mọi người nên mua tại đây.Shop làm sản phẩm với phụ vụ rất hài lòng lun đó. 5 sao nha!!!!,Nhóm Màu:Màu nâu sáng,7
6,Thúy N.Chứng nhận đã mua hàng,"Tuy Shop hết màu mình chọn, có nhắn tin nói giao màu khác, Shiper lại ko cho kiểm hàng, nhưng do thấy bình luận tốt và tin tưởng nên mua lun, hàng rất đẹp và đường may cũng rất đẹp lun, duyệt ok, thix lắm, giao hàng nhanh nữa",Nhóm màu:Đen,11
7,AnbiChứng nhận đã mua hàng,"Sản phẩm đẹp,giống hình ảnh 
Giao hàng nhanh, shipper thân thiệt",Nhóm Màu:Màu nâu đậm,2
8,Đ***.Chứng nhận đã mua hàng,"Shop Kodoros chào anh chị, cảm ơn anh chị đã dành thời gian đánh giá cho sản phẩm của Shop. Shop rất lấy làm vui và hạnh phúc khi nhận được phản hồi tốt và hài lòng của quý anh chị nhiều ạ. Kodoros hi vọng đem lại những trải nghiệm thật tốt khi anh chị mua hàng Online nhé. Anh chị hãy bấm nút theo dõi gian hàng của shop để nhận được nhiều ưu đãi và những sản phẩm chất lượng của shop nữa nha. Chúc quý anh chị luôn vui vẻ và gặp nhiều may mắn trong cuộc sống nhé",Nhóm màu:Màu nâu đậm,0
9,YupppyChứng nhận đã mua hàng,"Ví hơi to nhưng so với giá thì quá ok r ạ
Hskejdjxb
Jsjebdkfnj
Dkendkskdnjjsknfbsjej
Kebdkskd",Nhóm Màu:Đen,4
10,n***.Chứng nhận đã mua hàng,"Đẹp, quá rẻ, chắc chắn, chỉ dư 1 xíu chỉ nhưng mà giá vậy thì quá là đẹp rồi ok lắm",Nhóm Màu:Hardware Black,1
11,1***5 từ Malaysia,"Shop Kodoros chào anh chị, cảm ơn anh chị đã dành thời gian đánh giá cho sản phẩm của Shop. Shop rất lấy làm vui và hạnh phúc khi nhận được phản hồi tốt và hài lòng của quý anh chị nhiều ạ. Kodoros hi vọng đem lại những trải nghiệm thật tốt khi anh chị mua hàng Online nhé. Anh chị hãy bấm nút theo dõi gian hàng của shop để nhận được nhiều ưu đãi và những sản phẩm chất lượng của shop nữa nha. Chúc quý anh chị luôn vui vẻ và gặp nhiều may mắn trong cuộc sống nhé",Nhóm màu:NO.1 Black,0
12,MUHAMMAD S. từ Malaysia,fhsjdhdkndksnsjhsjsjdznsnskzjjzjsjdjdjhajhajhshzhzjzjjsjsjskskksjsjsjjsjggggshjsjsjsjs,Nhóm màu:NO.1 Black,0
13,TANG E. từ Malaysia,Rất tốt👍👍👍👍👍,Nhóm màu:NO.1 Black,0
14,Kesavan R. từ Malaysia,Đã nhận được hàng người bán TQ,Nhóm màu:NO.1 Black,0
15,****7Chứng nhận đã mua hàng,Cảm ơn bạn nhiều,Nhóm Màu:black,0
16,Binh M.Chứng nhận đã mua hàng,"Đẹp, tôi thích nó, gói hàng tuyệt vời📦, Cảm ơn đại lý và Lazada",Color Family:brown,1
17,0***8Chứng nhận đã mua hàng,Đã nhận được hàng cám ơn shop nhen sẽ ủng hộ shop nữa ạ giao hàng nhanh,Nhóm Màu:black,0
18,sadaf từ Thailand,"Design:đẹp
 Material:tốt
 Color :đẹp

Nhìn chung rất đẹp, đúng ý mình. đây là lần đầu mình dùng ví.",Nhóm Màu:coffee,0
19,0***7Chứng nhận đã mua hàng,"ví đúng mẫu như hình, hơi mỏng nhưng bỏ túi gọn. chất hơi cứng nhưng so với số tiền như vậy là ok rồi. nói chung cũng ok. hàng giao hơi lâu. nhận về thấy ok còn về độ bền thì đợi xem sử dụng thế nào đã.
hình ảnh mang tính chất nhận xu nhé
 Chất liệu:hơi cứng
 Kiểu dáng:đựp, đúng mẫu
 Màu sắc:màu giao đúng mẫu",Nhóm Màu:coffee,0
20,C***uChứng nhận đã mua hàng,"Sản phẩm đẹp. Sản phẩm rất tốt, kích thước tốt.",Variation3:OD silicon,0
21,DangTamChứng nhận đã mua hàng,"hàng đẹp, chất lượng phù hợp giá tiền nhưng mùi keo khá nồng hehee",Variation3:ODV-đất-cao-cấp-ngan,0
22,CuctuChứng nhận đã mua hàng,"đã mua ở shop 1 lần, ví mới nhìn trầy vì là da bò, chứ dùng càng lâu da càng bóng nha, láng o luôn, các bạn k tin cứ thử nha",Variation3:OD silicon,4
