,name_comment,content_comment,skuInfo_comment,like_count
0,B***.Chứng nhận đã mua hàng,"Chất liệu:da Màu sắc:đen
bóp phù hợp với giá tiền. giao hàng khá nhanh.",Nhóm Màu:Đen,0
1,*******346Chứng nhận đã mua hàng,"Chất liệu mềm mại, ưng ý, giao hàng nhanh, shipper thân thiện.",Nhóm Màu:Đen,0
2,vuvanducChứng nhận đã mua hàng,"lúc đầu tính không mua vì nâu , nhưng shop vẫn gửi nhận thấy đẹp ,Khóa kéo an toàn, Nhỏ gọn nhưng rộng rãi, Thời trang và phong cách, Quà tặng lý tưởng cho nam giới, Lý tưởng cho công việc và du lịch, mềm mại",Nhóm Màu:Đen,0
3,1***7 từ Malaysia,"Quý khách thân mến, rất vui khi quý khách yêu thích sản phẩm của chúng tôi, đánh giá tốt của bạn là động lực lớn của shop. Chúc quý khách một ngày vui vẻ ạ.",Nhóm Màu:Đen,0
4,Edward W. từ Malaysia,Đã nhận được,Nhóm Màu:Đen,0
5,8***4Chứng nhận đã mua hàng,"Chiếc ví màu đen này trông và cảm thấy tốt.
Chất liệu PU mềm.
Kích cỡ có vẻ đủ lớn.
Phong cách cổ điển với đủ khe cắm thẻ và hai khe ghi chú.
Hy vọng sẽ kéo dài.

Giao hàng mất nhiều thời gian.",Nhóm Màu:Đen có hộp,0
6,An L.Chứng nhận đã mua hàng,"Rat dep, mềm, mịn, đường may đẹp, rất thích",Nhóm Màu:Đen có hộp,0
7,Phan L.Chứng nhận đã mua hàng,sản phẩm y hình. bọc gói kĩ càng cẩn thận. có hộp đựng gọn gàng. shop rất uy tín nha. mọi người nên mua🥰,Nhóm Màu:Đen có hộp,0
8,D***.Chứng nhận đã mua hàng,Quá đẹp nha anh em anh em nên mua ủng hộ shop nha :)))))))))))),Nhóm Màu:Đen có hộp,0
9,Hải.việnChứng nhận đã mua hàng,"Màu sắc:
 Kiểu dáng:
 Chất liệu:tuỵt vời luôn ạ shop uy tín 10₫ gói hàng 🧡",Nhóm Màu:Đen không hộp,0
10,Như L.Chứng nhận đã mua hàng,chất liệu ví rất mềm đẹp và còn rất tuyệt vời mọi người nên mua để trải nghiệm,Nhóm màu:MÀU ĐEN,0
11,MaiChứng nhận đã mua hàng,"bóp đẹp 
đóng gói hàng kĩ
giá rẻ
chưa dùng nên chưa biết thế nào
 .................................................",Nhóm Màu:MÀU NÂU KHÔNG HỘP,6
12,hoanguyenChứng nhận đã mua hàng,"ví nhận được mềm mại,đóng gói kĩ lưỡng.Hàng rất rẻ , chất lượng cũng tốt.",Nhóm Màu:ĐEN KÈM HỘP+FREESHIP,0
13,P***.Chứng nhận đã mua hàng,Ví đẹp xuất sắc rẻ chất lượng sp cao hơn giá trị của nó rất hài lòng về sp giao hàng nhanh sp mềm nhiều ngăn tóm lại là rất hài lòng 👍👍👍👍👍😄😄,Nhóm Màu:MÀU ĐEN,0
14,3***1Chứng nhận đã mua hàng,"Cảm ơn bạn đã tin tưởng, chia sẻ và đánh giá tốt sản phẩm của shop. Hy vọng bạn sẽ luôn ủng hộ Shop trong những lần tiếp theo và đừng quên giới thiệu sản phẩm cho người thân và bạn bè nữa nha.",Nhóm Màu:MÀU NÂU,0
15,9***3Chứng nhận đã mua hàng,rẻ mà còn đẹp  hk tin luôn á kiểu ko kì vọng mà làm mình thấy vui ghê luôk vì quá đẹp cái hộp thì sang ơi là sang luôn á mấy bà nên mua nha lần sau sẽ ủng hộ,Variation3:mẫu 3.,0
