,title,price,quantity_sold,location,sale_off,reviews,links
0,VÍ DA NAM DÁNG NGANG PLAYBOY PLB0899,19.000 ₫,5k+ Đã bán,Hà Nội,62% Off,(1097),https://www.lazada.vn/products/vi-da-nam-dang-ngang-playboy-plb0899-i1946479679.html
1,Ví nam da Ví da nam Bóp nam da thời trang CÓ NGĂN KHÓA KÉO thiết kế sang trọng đẹp tiện ích mà giá rẻ KDR-V297 Kodoros - TOP SELL BÁN 8000 cái,54.156 ₫,"9,999+ Đã bán",Hồ Chí Minh,"43% Off
LazFlash Sale, tới 23:59",(3754),https://www.lazada.vn/products/vi-nam-da-vi-da-nam-bop-nam-da-thoi-trang-co-ngan-khoa-keo-thiet-ke-sang-trong-dep-tien-ich-ma-gia-re-kdr-v297-kodoros-top-sell-ban-8000-cai-i712066244.html
2,Ví Da Bò Nam Bifold Chủ Thẻ Tín Dụng Ví RFID Chặn Ví Ngắn Cho Nam Portemonnee Nam,40.500 ₫,485 Đã bán,Nước ngoài,36% Off,(120),https://www.lazada.vn/products/vi-da-bo-nam-bifold-chu-the-tin-dung-vi-rfid-chan-vi-ngan-cho-nam-portemonnee-nam-i898084425.html
3,Elaccent Ví Nam Mới Ví thường ngày Phong Cách nhiều khe cắm thẻ ngắn ví da mềm ngang gấp ba lần mỏng của chàng trai trẻ,35.000 ₫,104 Đã bán,Nước ngoài,51% Off,(38),https://www.lazada.vn/products/elaccent-vi-nam-moi-vi-thuong-ngay-phong-cach-nhieu-khe-cam-the-ngan-vi-da-mem-ngang-gap-ba-lan-mong-cua-chang-trai-tre-i2421816539.html
4,(Có Hộp Xịn) Ví Nam Ông Địa Da Bò Thật 1-0-0% mang tài lộc và may mắn cho gia chủ - Vina001 - Sỉ túi đẹp SG,39.000 ₫,2k+ Đã bán,Hồ Chí Minh,80% Off,(952),https://www.lazada.vn/products/co-hop-xin-vi-nam-ong-dia-da-bo-that-1-0-0-mang-tai-loc-va-may-man-cho-gia-chu-vina001-si-tui-dep-sg-i2020214073.html
5,ví bóp nam [ MUA 2 FREE SHIP ] Ví Da Nam / Bóp Da Nam Giá Tận Xưởng Có 3 Ngăn Lớn 1 Khóa Kéo 7 Ngăn Nhỏ Bỏ Vừa Tất Cả Các Loại Giấy Tờ vi tien/bop tien giá rẻ,29.000 ₫,"9,999+ Đã bán",Hồ Chí Minh,47% Off,(6650),https://www.lazada.vn/products/vi-bop-nam-mua-2-free-ship-vi-da-nam-bop-da-nam-gia-tan-xuong-co-3-ngan-lon-1-khoa-keo-7-ngan-nho-bo-vua-tat-ca-cac-loai-giay-to-vi-tienbop-tien-gia-re-i363308986.html
6,VÍ DA NAM THỜI TRANG BẢO HÀNH 12 THÁNG V20,19.000 ₫,475 Đã bán,Hà Nội,"81% Off
LazFlash Sale, tới 23:59",(41),https://www.lazada.vn/products/vi-da-nam-thoi-trang-bao-hanh-12-thang-v20-i1457705141.html
7,Ví nam Gấu 194 chất liệu da Si PU cao cấp nam mini sang chảnh - Play,18.000 ₫,5k+ Đã bán,Đồng Nai,53% Off,(1064),https://www.lazada.vn/products/vi-nam-gau-194-chat-lieu-da-si-pu-cao-cap-nam-mini-sang-chanh-play-i1885671564.html
8,Ví nam da mềm kiểu dáng mới hàng đẹp VD88,23.800 ₫,311 Đã bán,Hà Nội,76% Off,(57),https://www.lazada.vn/products/vi-nam-da-mem-kieu-dang-moi-hang-dep-vd88-i1226648652.html
9,VÍ NGANG NAM/ BÓP DA NAM PLAYBOY - NHƯ STORE - MÀU ĐEN / NÂU,38.000 ₫,1k+ Đã bán,Hồ Chí Minh,37% Off,(317),https://www.lazada.vn/products/vi-ngang-nam-bop-da-nam-playboy-nhu-store-mau-den-nau-i2130292828.html
